"Type","SKU","Name","Published","Is featured?","Visibility in catalog","Short description","Description","Tax status","In stock?","Stock","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Sale price","Regular price","Categories","Tags","Images","Position","Brands","Parent","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Meta: _yoast_wpseo_title","Meta: _yoast_wpseo_metadesc","Meta: _yoast_wpseo_focuskw","Meta: _image_alt_text","Meta: cod_furnizor","Meta: batch_import"
"simple","MC-V9980","Dulap de baie suspendat cu lavoar integrat, compozit fibra de carbon, negru mat textura tesatura 800 mm","1","0","visible","Dulap de baie suspendat cu lavoar integrat, realizat din compozit din fibra de carbon, in finisaj negru mat cu textura tesatura. Montaj pe perete, design minimalist contemporan, dimensiuni 800x520x510 mm.","<p>Dulap de baie suspendat cu lavoar integrat, din compozit din fibra de carbon, in finisaj negru mat cu textura tesatura, conceput pentru un montaj pe perete elegant si o estetica minimalista.</p>
<table>
<tr><th>Cod intern</th><td>MC-V9980</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat cu lavoar integrat</td></tr>
<tr><th>Material</th><td>Compozit din fibra de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru mat, textura tesatura</td></tr>
<tr><th>Dimensiuni (L x l x I)</th><td>800 x 520 x 510 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat (pe perete)</td></tr>
<tr><th>Echipare / Scurgere</th><td>Lavoar integrat, ventil cu scurgere pop-up</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>890 x 610 x 600 mm</td></tr>
</table>","taxable","1","","0","0","","80.0","52.0","51.0","1","","8435","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9980/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textura tesatura","1","1","Material","Compozit din fibra de carbon","1","1","Dimensiuni","800 x 520 x 510 mm","1","1","Dulap baie suspendat cu lavoar, negru mat, 800 mm","Dulap de baie suspendat cu lavoar integrat, compozit fibra de carbon, negru mat textura tesatura, 800x520x510 mm. Montaj pe perete, design minimalist.","dulap baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar integrat din compozit fibra de carbon, negru mat textura tesatura, montat pe perete cu oglinda deasupra","MC-V9980","import-2026-06"
"simple","MC-V9980B","Lavoar pe blat dreptunghiular din compozit fibra de carbon, negru mat texturat","1","0","visible","Lavoar pe blat de design, formă dreptunghiulară cu profil subțire, realizat din compozit din fibră de carbon. Finisaj negru mat cu textură de țesătură, ideal pentru băi moderne și minimaliste.","<p>Lavoar pe blat de design, cu formă dreptunghiulară și profil subțire, realizat din compozit din fibră de carbon, cu finisaj negru mat și textură de țesătură care îi conferă un aspect tactil distinct.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9980B</td></tr>
<tr><th>Tip produs</th><td>Lavoar pe blat</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru, textură țesătură (cloth), mat</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>550 × 350 × 60 mm</td></tr>
<tr><th>Montaj</th><td>Pe blat</td></tr>
<tr><th>Echipare / Scurgere</th><td>Fără orificiu pentru baterie; scurgere centrală</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>640 × 440 × 150 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","55.0","35.0","6.0","1","","2373","Baie > Lavoare > Lavoare pe blat","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9980B/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","550 × 350 × 60 mm","1","1","Lavoar pe blat dreptunghiular negru mat texturat 550x350","Lavoar pe blat de design, dreptunghiular, din compozit din fibra de carbon, finisaj negru mat cu textura de tesatura. Dimensiuni 550x350x60 mm.","lavoar pe blat negru mat","Lavoar pe blat dreptunghiular din compozit fibra de carbon, negru mat cu textura de tesatura","MC-V9980B","import-2026-06"
"simple","MC-V9990","Dulap de baie suspendat cu lavoar dublu integrat, compozit fibră de carbon, negru mat","1","0","visible","Dulap de baie suspendat de design, cu lavoar dublu integrat, realizat din compozit din fibră de carbon. Finisaj negru mat cu textură țesătură, lungime 1400 mm, montaj pe perete. Liniile fluide și suprafața matuita oferă un aspect modern, premium, pentru băi contemporane.","<p>Dulap de baie suspendat de design, cu lavoar dublu integrat, realizat din compozit din fibră de carbon, cu finisaj negru mat și textură țesătură pentru un aspect contemporan și premium.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9990</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat cu lavoar integrat</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru mat, textură țesătură (cloth)</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1400 × 520 × 510 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat (pe perete)</td></tr>
<tr><th>Echipare / Scurgere</th><td>Lavoar dublu integrat, ventil cu scurgere pop-up</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1490 × 610 × 600 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","140.0","52.0","51.0","1","","11950","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9990/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură (cloth)","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1400 × 520 × 510 mm","1","1","Dulap de baie suspendat cu lavoar, fibră de carbon negru mat","Dulap de baie suspendat cu lavoar dublu integrat, din compozit fibră de carbon, finisaj negru mat cu textură țesătură. Dimensiuni 1400×520×510 mm, montaj pe perete.","dulap de baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar dublu integrat, compozit fibră de carbon negru mat, textură țesătură, montat pe perete sub oglindă","MC-V9990","import-2026-06"
"simple","MC-V9999","Dulap de baie suspendat cu lavoar integrat, negru mat, textură țesătură, 1200 mm","1","0","visible","Dulap de baie suspendat cu lavoar integrat, realizat din compozit din fibră de carbon, finisaj negru mat cu textură țesătură. Design modern, montaj pe perete, dimensiuni 1200x520x300 mm.","<p>Dulap de baie suspendat cu lavoar integrat, din compozit din fibră de carbon, în finisaj negru mat cu textură țesătură, pentru un aspect modern și discret în baie.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9999</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat (cu lavoar integrat)</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru, textură țesătură, mat</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1200 × 520 × 300 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat, pe perete</td></tr>
<tr><th>Echipare / Scurgere</th><td>Lavoar integrat, cu orificiu de scurgere</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1290 × 610 × 380 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","120.0","52.0","30.0","1","","18277","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9999/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1200 × 520 × 300 mm","1","1","Dulap baie suspendat cu lavoar negru mat 1200 mm","Dulap de baie suspendat cu lavoar integrat, compozit din fibră de carbon, negru mat cu textură țesătură, 1200 mm. Design modern, montaj pe perete.","dulap baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar integrat, negru mat cu textură țesătură, montat pe perete sub o oglindă","MC-V9999","import-2026-06"
"simple","MC-V9999C","Coloană depozitare verticală pentru baie, compozit fibră de carbon, negru mat texturat","1","0","visible","Coloană / dulap de depozitare verticală pentru baie, realizată din compozit cu fibră de carbon, în finisaj negru mat cu textură de țesătură. Soluție de design pentru organizarea spațiului, cu dimensiuni 1200x400x360 mm.","<p>Coloană de depozitare verticală pentru baie, realizată din compozit cu fibră de carbon, cu finisaj negru mat și textură de țesătură, gândită ca soluție elegantă de organizare a spațiului.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9999C</td></tr>
<tr><th>Tip produs</th><td>Coloană / dulap de depozitare verticală</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru mat, textură țesătură (cloth)</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1200 × 400 × 360 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat (pe perete)</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1290 × 490 × 450 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","120.0","40.0","36.0","1","","8435","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9999C/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură (cloth)","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1200 × 400 × 360 mm","1","1","Coloană depozitare baie compozit fibră carbon, negru mat","Coloană de depozitare verticală pentru baie din compozit cu fibră de carbon, finisaj negru mat texturat. Dimensiuni 1200x400x360 mm, montaj suspendat.","coloană depozitare baie","Coloana de depozitare verticala pentru baie din compozit fibra de carbon, negru mat","MC-V9999C","import-2026-06"
"simple","MC-V9960","Dulap de baie suspendat cu lavoar dublu, finisaj negru texturat mat, 800 mm","1","0","visible","Dulap de baie suspendat cu lavoar integrat, realizat din compozit din fibră de carbon, cu finisaj negru mat și textură de tip țesătură. Montaj suspendat (pe perete), prevăzut pentru două baterii. Dimensiuni 800x520x450 mm.","<p>Dulap de baie suspendat cu lavoar integrat, executat din compozit din fibră de carbon cu finisaj negru mat și textură de tip țesătură, conceput pentru montaj suspendat pe perete și echipare cu două baterii.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9960</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat (cu lavoar)</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru mat, textură țesătură</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>800 × 520 × 450 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat, pe perete</td></tr>
<tr><th>Echipare / Scurgere</th><td>Pregătit pentru două baterii</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>890 × 610 × 540 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","80.0","52.0","45.0","1","","14412","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9960/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","800 × 520 × 450 mm","1","1","Dulap baie suspendat cu lavoar, negru mat texturat, 800 mm","Dulap de baie suspendat cu lavoar integrat, compozit din fibră de carbon, finisaj negru mat texturat. Montaj pe perete, două baterii. Dimensiuni 800x520x450 mm.","dulap baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar dublu, finisaj negru texturat mat, cu oglindă dreptunghiulară","MC-V9960","import-2026-06"
"simple","MC-V9970","Dulap de baie suspendat cu lavoar integrat 1400 mm, negru mat","1","0","visible","Dulap de baie suspendat cu lavoar integrat, realizat din compozit de fibră de carbon, finisaj negru mat cu textură țesătură. Lungime 1400 mm, montaj pe perete, ventil cu scurgere pop-up.","<p>Dulap de baie suspendat de design cu lavoar integrat, din compozit de fibră de carbon, finisaj negru mat cu textură țesătură, pentru un aspect modern și minimalist al băii.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9970</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat (cu lavoar integrat)</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru mat, textură țesătură (cloth)</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1400 × 520 × 450 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat (fixare pe perete)</td></tr>
<tr><th>Echipare / Scurgere</th><td>Lavoar integrat, ventil cu scurgere pop-up</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1490 × 610 × 540 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","140.0","52.0","45.0","1","","11950","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9970/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură (cloth)","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1400 × 520 × 450 mm","1","1","Dulap baie suspendat cu lavoar 1400 mm negru mat","Dulap de baie suspendat cu lavoar integrat, compozit fibră de carbon, negru mat cu textură țesătură. 1400 mm, montaj pe perete, scurgere pop-up.","dulap baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar integrat, negru mat cu textură țesătură, lungime 1400 mm, vedere de sus","MC-V9970","import-2026-06"
"simple","MC-V9969","Dulap de baie suspendat cu lavoar integrat, compozit fibră de carbon, negru mat texturat","1","0","visible","Dulap de baie suspendat cu lavoar integrat, realizat din compozit cu fibră de carbon, finisaj negru mat cu textură de țesătură. Față orizontală riflată, design modern pentru băi contemporane. Dimensiuni 1200x520x300 mm.","<p>Dulap de baie suspendat cu lavoar integrat, din compozit cu fibră de carbon în finisaj negru mat cu textură de țesătură, cu față orizontală riflată pentru un aspect modern și elegant.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-V9969</td></tr>
<tr><th>Tip produs</th><td>Dulap de baie suspendat (cu lavoar)</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru, textură țesătură (cloth), mat</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1200 × 520 × 300 mm</td></tr>
<tr><th>Montaj</th><td>Suspendat (montare pe perete)</td></tr>
<tr><th>Echipare / Scurgere</th><td>Lavoar integrat cu orificiu pentru baterie și scurgere</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1290 × 610 × 390 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","120.0","52.0","30.0","1","","20650","Baie > Mobilier de baie > Dulapuri suspendate","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-V9969/01.png","","","","Culoare","Negru","1","1","Finisaj","Mat, textură țesătură (cloth)","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1200 × 520 × 300 mm","1","1","Dulap baie suspendat cu lavoar, negru mat texturat","Dulap de baie suspendat cu lavoar integrat din compozit fibră de carbon, finisaj negru mat texturat, față riflată, 1200x520x300 mm. Design modern pentru baie.","dulap baie suspendat cu lavoar","Dulap de baie suspendat cu lavoar integrat din compozit fibră de carbon, negru mat texturat, montat pe perete sub oglindă","MC-V9969","import-2026-06"
"simple","MC-99913","Cadă freestanding de colț din compozit fibră de carbon, finisaj negru satinat, textură riflată, 1700x800 mm","1","0","visible","Cadă de baie independentă de colț (orientare dreapta), realizată din compozit cu fibră de carbon, în finisaj negru satinat cu exterior riflat (canelat). Formă rectangulară cu bazin interior oval, dimensiuni 1700x800x580 mm. Montaj de colț, pentru băi de design.","<p>Cadă de baie independentă de colț, cu orientare pe dreapta, realizată din compozit cu fibră de carbon, cu exterior riflat (canelat) și finisaj negru satinat; corpul rectangular ascunde un bazin interior oval, generos.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-99913</td></tr>
<tr><th>Tip produs</th><td>Cadă independentă (de sine stătătoare), de colț, orientare dreapta</td></tr>
<tr><th>Material</th><td>Compozit din fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru, satinat</td></tr>
<tr><th>Textură exterioară</th><td>Riflată (canelat), pe verticală</td></tr>
<tr><th>Formă</th><td>Corp rectangular, bazin interior oval</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1700 × 800 × 580 mm</td></tr>
<tr><th>Montaj</th><td>De colț, poziționare lipită de perete</td></tr>
<tr><th>Scurgere</th><td>Orificiu de evacuare central în bazin</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1790 × 890 × 640 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","170.0","80.0","58.0","1","","16279","Baie > Căzi de baie > Căzi freestanding","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99913/01.png, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99913/02.jpg, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99913/03.png, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99913/04.png","","","","Culoare","Negru","1","1","Finisaj","Satinat, exterior riflat (canelat)","1","1","Material","Compozit din fibră de carbon","1","1","Dimensiuni","1700 × 800 × 580 mm","1","1","Cadă freestanding de colț neagră satinată 1700x800 mm","Cadă de baie independentă de colț (dreapta), compozit fibră de carbon, negru satinat, exterior riflat, 1700x800x580 mm. Design pentru băi moderne.","cadă freestanding de colț","Cadă freestanding de colț din compozit fibră de carbon, negru satinat, vedere 3/4 cu exterior riflat","MC-99913","import-2026-06"
"simple","MC-99916","Cadă de baie independentă ovală cu textură riflată, negru satinat 1700x800 mm","1","0","visible","Cadă de baie independentă (freestanding), lipită de perete (back-to-wall), din compozit cu fibră de carbon. Formă ovală cu exterior riflat vertical și finisaj negru satinat. Dimensiuni 1700x800x580 mm.","<p>Cadă de baie independentă de design, lipită de perete, cu corp oval, suprafață exterioară riflată vertical și finisaj negru satinat, realizată din compozit cu fibră de carbon.</p>
<table>
<tbody>
<tr><th>Cod intern</th><td>MC-99916</td></tr>
<tr><th>Tip produs</th><td>Cadă de baie independentă (freestanding), lipită de perete (back-to-wall)</td></tr>
<tr><th>Material</th><td>Compozit cu fibră de carbon</td></tr>
<tr><th>Finisaj / Culoare</th><td>Negru, satinat</td></tr>
<tr><th>Formă</th><td>Ovală, exterior riflat (canelat) vertical</td></tr>
<tr><th>Dimensiuni (L×l×Î)</th><td>1700 × 800 × 580 mm</td></tr>
<tr><th>Montaj</th><td>Independentă, poziționare lipită de perete</td></tr>
<tr><th>Scurgere</th><td>Orificiu de evacuare central</td></tr>
<tr><th>Dimensiuni ambalaj</th><td>1790 × 890 × 640 mm</td></tr>
</tbody>
</table>","taxable","1","","0","0","","170.0","80.0","58.0","1","","16279","Baie > Căzi de baie > Căzi freestanding","","https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99916/01.jpg, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99916/02.png, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99916/03.png, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99916/04.png, https://raw.githubusercontent.com/edipopescueduard6-lab/doarbai-import-2026/main/images/MC-99916/05.png","","","","Culoare","Negru","1","1","Finisaj","Satinat","1","1","Material","Compozit cu fibră de carbon","1","1","Dimensiuni","1700 × 800 × 580 mm","1","1","Cadă independentă ovală riflată negru satinat 1700x800","Cadă de baie independentă, lipită de perete, ovală cu textură riflată și finisaj negru satinat. Compozit cu fibră de carbon, 1700x800x580 mm.","cadă independentă neagră","Cadă de baie independentă ovală cu textură riflată, finisaj negru satinat, vedere frontală","MC-99916","import-2026-06"
